field,count,"distinct_count","is_exact",max,mean,min,"numeric_count",stdev,values
"Account_Domain",3,1,1,,,,0,,"[{""value"":""DESKTOP-LOEK43C"",""count"":3}]"
"Account_Name",3,2,1,,,,0,,"[{""value"":""-"",""count"":3},{""value"":""JC"",""count"":3}]"
ComputerName,3,1,1,,,,0,,"[{""value"":""DESKTOP-LOEK43C"",""count"":3}]"
EventCode,3,1,1,4732,4732,4732,3,0,"[{""value"":""4732"",""count"":3}]"
EventType,3,1,1,0,0,0,3,0,"[{""value"":""0"",""count"":3}]"
"Group_Domain",3,1,1,,,,0,,"[{""value"":""Builtin"",""count"":3}]"
"Group_Name",3,1,1,,,,0,,"[{""value"":""Administrators"",""count"":3}]"
Keywords,3,1,1,,,,0,,"[{""value"":""Audit Success"",""count"":3}]"
LogName,3,1,1,,,,0,,"[{""value"":""Security"",""count"":3}]"
"Logon_ID",3,2,1,,,,0,,"[{""value"":""0x6CE4D"",""count"":2},{""value"":""0xD3E80"",""count"":1}]"
Message,3,3,1,,,,0,,"[{""value"":""A member was added to a security-enabled local group.\r\n\r\nSubject:\r\n\tSecurity ID:\t\tS-1-5-21-3394884509-2193508422-1494762754-1001\r\n\tAccount Name:\t\tJC\r\n\tAccount Domain:\t\tDESKTOP-LOEK43C\r\n\tLogon ID:\t\t0x6CE4D\r\n\r\nMember:\r\n\tSecurity ID:\t\tS-1-5-21-3394884509-2193508422-1494762754-1002\r\n\tAccount Name:\t\t-\r\n\r\nGroup:\r\n\tSecurity ID:\t\tS-1-5-32-544\r\n\tGroup Name:\t\tAdministrators\r\n\tGroup Domain:\t\tBuiltin\r\n\r\nAdditional Information:\r\n\tPrivileges:\t\t-"",""count"":1},{""value"":""A member was added to a security-enabled local group.\r\n\r\nSubject:\r\n\tSecurity ID:\t\tS-1-5-21-3394884509-2193508422-1494762754-1001\r\n\tAccount Name:\t\tJC\r\n\tAccount Domain:\t\tDESKTOP-LOEK43C\r\n\tLogon ID:\t\t0x6CE4D\r\n\r\nMember:\r\n\tSecurity ID:\t\tS-1-5-21-3394884509-2193508422-1494762754-1003\r\n\tAccount Name:\t\t-\r\n\r\nGroup:\r\n\tSecurity ID:\t\tS-1-5-32-544\r\n\tGroup Name:\t\tAdministrators\r\n\tGroup Domain:\t\tBuiltin\r\n\r\nAdditional Information:\r\n\tPrivileges:\t\t-"",""count"":1},{""value"":""A member was added to a security-enabled local group.\r\n\r\nSubject:\r\n\tSecurity ID:\t\tS-1-5-21-3394884509-2193508422-1494762754-1001\r\n\tAccount Name:\t\tJC\r\n\tAccount Domain:\t\tDESKTOP-LOEK43C\r\n\tLogon ID:\t\t0xD3E80\r\n\r\nMember:\r\n\tSecurity ID:\t\tS-1-5-21-3394884509-2193508422-1494762754-1002\r\n\tAccount Name:\t\t-\r\n\r\nGroup:\r\n\tSecurity ID:\t\tS-1-5-32-544\r\n\tGroup Name:\t\tAdministrators\r\n\tGroup Domain:\t\tBuiltin\r\n\r\nAdditional Information:\r\n\tPrivileges:\t\t-"",""count"":1}]"
OpCode,3,1,1,,,,0,,"[{""value"":""Info"",""count"":3}]"
Privileges,3,1,1,,,,0,,"[{""value"":""-"",""count"":3}]"
RecordNumber,3,3,1,14551,11704,6011,3,"4930.282649098325","[{""value"":""14550"",""count"":1},{""value"":""14551"",""count"":1},{""value"":""6011"",""count"":1}]"
"Security_ID",3,4,1,,,,0,,"[{""value"":""S-1-5-21-3394884509-2193508422-1494762754-1001"",""count"":3},{""value"":""S-1-5-32-544"",""count"":3},{""value"":""S-1-5-21-3394884509-2193508422-1494762754-1002"",""count"":2},{""value"":""S-1-5-21-3394884509-2193508422-1494762754-1003"",""count"":1}]"
SourceName,3,1,1,,,,0,,"[{""value"":""Microsoft Windows security auditing."",""count"":3}]"
TaskCategory,3,1,1,,,,0,,"[{""value"":""Security Group Management"",""count"":3}]"
Type,3,1,1,,,,0,,"[{""value"":""Information"",""count"":3}]"
eventtype,0,0,1,,,,0,,"[]"
host,3,1,1,,,,0,,"[{""value"":""DESKTOP-LOEK43C"",""count"":3}]"
index,3,1,1,,,,0,,"[{""value"":""windows_security"",""count"":3}]"
linecount,3,1,1,30,30,30,3,0,"[{""value"":""30"",""count"":3}]"
punct,3,1,1,,,,0,,"[{""value"":""//_::._====-=___.===_=__==______-__.\\r\\r:\\rt_:tt-----"",""count"":3}]"
source,3,1,1,,,,0,,"[{""value"":""WinEventLog:Security"",""count"":3}]"
sourcetype,3,1,1,,,,0,,"[{""value"":""WinEventLog:Security"",""count"":3}]"
"splunk_server",3,1,1,,,,0,,"[{""value"":""jcserver"",""count"":3}]"
"splunk_server_group",0,0,1,,,,0,,"[]"
tag,0,0,1,,,,0,,"[]"
"tag::eventtype",0,0,1,,,,0,,"[]"
